"a_o","armas_medios","barrios_hecho","clasificaciones_delito","conducta","curso_de_vida","descripcion_conducta","dia","dia_semana","edad","estado_civil_persona","fecha_hecho","genero","latitud","longitud","mes","movil_agresor","movil_victima","nom_comuna","orden","zona"
"2013","ARMA BLANCA / CORTOPUNZANTE","GARCIA ROVIRA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","13","sábado","39","SOLTERO","2013-07-13T00:00:00.000","MASCULINO","7.116246501","-73.128156","07. julio","A PIE","A PIE","15. Centro","163","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","GARCIA ROVIRA","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","22","domingo","17","UNION LIBRE","2013-12-22T00:00:00.000","MASCULINO","7.116246501","-73.128156","12. diciembre","A PIE","A PIE","15. Centro","164","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","GARCIA ROVIRA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","22","domingo","19","UNION LIBRE","2013-12-22T00:00:00.000","MASCULINO","7.116246501","-73.128156","12. diciembre","A PIE","A PIE","15. Centro","165","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","GARCIA ROVIRA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","14","sábado","34","UNION LIBRE","2016-05-14T00:00:00.000","MASCULINO","7.119706125","-73.13059021","05. mayo","A PIE","A PIE","15. Centro","166","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","GARCIA ROVIRA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","6","lunes","31","SOLTERO","2017-03-06T00:00:00.000","MASCULINO","7.12017139","-73.1274501","03. marzo","A PIE","A PIE","15. Centro","167","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","GIRARDOT","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","7","lunes","41","SOLTERO","2010-06-07T00:00:00.000","MASCULINO","7.170557382","-73.135108","06. junio","A PIE","A PIE","04. Occidental","168","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","GIRARDOT","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","3","sábado","57","UNION LIBRE","2011-09-03T00:00:00.000","MASCULINO","7.170557382","-73.135108","09. septiembre","A PIE","A PIE","04. Occidental","169","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","GIRARDOT","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","14","sábado","16","SOLTERO","2012-04-14T00:00:00.000","MASCULINO","7.121843121","-73.139995","04. abril","A PIE","A PIE","04. Occidental","170","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","GIRARDOT","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","2","lunes","14","SOLTERO","2012-07-02T00:00:00.000","MASCULINO","7.121843121","-73.139995","07. julio","A PIE","A PIE","04. Occidental","171","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","GIRARDOT","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","12","sábado","16","SOLTERO","2014-07-12T00:00:00.000","MASCULINO","7.12236008","-73.13482037","07. julio","A PIE","A PIE","04. Occidental","172","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","GIRARDOT","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","12","lunes","53","CASADO","2015-01-12T00:00:00.000","MASCULINO","7.120541843","-73.13449314","01. enero","A PIE","A PIE","04. Occidental","173","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","GIRARDOT","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","19","domingo","15","SOLTERO","2015-04-19T00:00:00.000","MASCULINO","7.121409499","-73.13377967","04. abril","A PIE","A PIE","04. Occidental","174","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","GIRARDOT","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","3","sábado","33","CASADO","2015-10-03T00:00:00.000","MASCULINO","7.121594746","-73.13256082","10. octubre","A PIE","A PIE","04. Occidental","175","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","GIRARDOT","Lesiones fatales","FEMINICIDIO","05. Adultez","ARTÍCULO 104A. FEMINICIDIO","16","sábado","29","UNION LIBRE","2016-04-16T00:00:00.000","FEMENINO","7.121776788","-73.13257504","04. abril","A PIE","A PIE","04. Occidental","176","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","GIRARDOT","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","1","miércoles","50","SOLTERO","2017-02-01T00:00:00.000","MASCULINO","7.122255861","-73.13420046","02. febrero","A PIE","A PIE","04. Occidental","177","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","GIRARDOT","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","10","domingo","51","CASADO","2018-06-10T00:00:00.000","MASCULINO","7.121507542","-73.13283733","06. junio","A PIE","A PIE","04. Occidental","178","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","GRANADA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","23","lunes","27","SOLTERO","2011-05-23T00:00:00.000","MASCULINO","7.151677113","-73.13630695","05. mayo","A PIE","A PIE","04. Occidental","179","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","GRANADA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","12","miércoles","37","SOLTERO","2012-12-12T00:00:00.000","MASCULINO","7.13171074","-73.13518","12. diciembre","A PIE","A PIE","04. Occidental","180","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","GRANADA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","6","sábado","29","UNION LIBRE","2013-07-06T00:00:00.000","MASCULINO","7.124215909","-73.130981","07. julio","A PIE","A PIE","04. Occidental","181","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","GRANADA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","8","lunes","30","SOLTERO","2014-09-08T00:00:00.000","MASCULINO","7.122434602","-73.12911263","09. septiembre","A PIE","A PIE","04. Occidental","182","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","GRANADA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","28","miércoles","22","SOLTERO","2015-10-28T00:00:00.000","MASCULINO","7.124454265","-73.13223172","10. octubre","A PIE","A PIE","04. Occidental","183","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","GRANADA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","5","domingo","25","SOLTERO","2017-02-05T00:00:00.000","MASCULINO","7.125657261","-73.13005377","02. febrero","PASAJERO MOTOCICLETA","CONDUCTOR MOTOCICLETA","04. Occidental","184","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","GRANADA","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","3","domingo","17","SOLTERO","2017-12-03T00:00:00.000","MASCULINO","7.123611737","-73.12873356","12. diciembre","A PIE","A PIE","04. Occidental","185","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","INV. CARLOS PIZARRO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","1","jueves","28","SOLTERO","2015-10-01T00:00:00.000","MASCULINO","7.118498804","-73.16134182","10. octubre","A PIE","A PIE","Giron","186","OTROS"
"2010","ARMA BLANCA / CORTOPUNZANTE","INV. LOS CORRALES","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","5","sábado","35","UNION LIBRE","2010-06-05T00:00:00.000","MASCULINO","7.12617854","-73.15613081","06. junio","A PIE","A PIE","01. Norte","187","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","INV. VILLAS DEL GIRARDOT","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","23","martes","21","SOLTERO","2014-09-23T00:00:00.000","MASCULINO","7.122988196","-73.13711634","09. septiembre","A PIE","A PIE","04. Occidental","188","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","INV. VILLAS DEL GIRARDOT","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","12","lunes","29","SOLTERO","2015-01-12T00:00:00.000","MASCULINO","7.122846716","-73.14005604","01. enero","A PIE","A PIE","04. Occidental","189","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","JARDINES DE COAVICONSA","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","18","domingo","17","SOLTERO","2010-07-18T00:00:00.000","MASCULINO","7.129819817","-73.13001385","07. julio","A PIE","A PIE","11. Sur","190","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","JOSE ANTONIO GALAN","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","13","sábado","56","CASADO","2014-12-13T00:00:00.000","MASCULINO","7.108953428","-73.16211453","12. diciembre","A PIE","A PIE","05. García Rovira","191","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","JOSE MARIA CORDOBA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","5","jueves","23","SOLTERO","2012-04-05T00:00:00.000","MASCULINO","7.152336443","-73.126062","04. abril","A PIE","A PIE","02. Nor Oriental","192","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","JOSE MARIA CORDOBA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","21","sábado","20","SOLTERO","2017-10-21T00:00:00.000","MASCULINO","7.150236833","-73.1272047","10. octubre","A PIE","A PIE","02. Nor Oriental","193","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","JOSE MARIA CORDOBA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","4","domingo","21","UNION LIBRE","2018-02-04T00:00:00.000","MASCULINO","7.150277589","-73.12724761","02. febrero","A PIE","A PIE","02. Nor Oriental","194","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","JUAN XXIII","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","18","miércoles","40","SOLTERO","2013-09-18T00:00:00.000","MASCULINO","7.104936462","-73.111911","09. septiembre","A PIE","A PIE","08. Sur Occidente","195","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","KENNEDY","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","13","domingo","19","SOLTERO","2013-10-13T00:00:00.000","MASCULINO","7.154832987","-73.136127","10. octubre","A PIE","A PIE","01. Norte","196","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","KENNEDY","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","10","domingo","18","SOLTERO","2014-08-10T00:00:00.000","MASCULINO","7.152902574","-73.13477746","08. agosto","A PIE","A PIE","01. Norte","197","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","KENNEDY","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","1","jueves","28","UNION LIBRE","2015-01-01T00:00:00.000","MASCULINO","7.153942734","-73.13679448","01. enero","A PIE","A PIE","01. Norte","198","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","KENNEDY","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","30","viernes","23","SOLTERO","2016-09-30T00:00:00.000","MASCULINO","7.153112399","-73.13576151","09. septiembre","A PIE","A PIE","01. Norte","199","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","KENNEDY","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","5","miércoles","15","SOLTERO","2016-10-05T00:00:00.000","FEMENINO","7.15189883","-73.13457061","10. octubre","A PIE","A PIE","01. Norte","200","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","KENNEDY","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","9","domingo","21","SOLTERO","2017-07-09T00:00:00.000","MASCULINO","7.153702181","-73.13544981","07. julio","A PIE","A PIE","01. Norte","201","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","LA AURORA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","23","domingo","18","SOLTERO","2011-10-23T00:00:00.000","MASCULINO","7.13354439","-73.110717","10. octubre","NO REPORTA","NO REPORTA","13. Oriental","202","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","LA AURORA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","6","domingo","19","SOLTERO","2011-11-06T00:00:00.000","MASCULINO","7.13354439","-73.110717","11. noviembre","A PIE","A PIE","13. Oriental","203","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","LA AURORA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","7","domingo","33","UNION LIBRE","2015-06-07T00:00:00.000","FEMENINO","7.127616116","-73.11248293","06. junio","A PIE","A PIE","13. Oriental","204","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","LA AURORA","Lesiones fatales","HOMICIDIO","06. Persona Mayor","ARTÍCULO 103. HOMICIDIO","27","viernes","61","SOLTERO","2018-07-27T00:00:00.000","MASCULINO","7.129816596","-73.11428129","07. julio","A PIE","A PIE","13. Oriental","205","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","LA CEMENTO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","1","sábado","20","UNION LIBRE","2010-05-01T00:00:00.000","MASCULINO","7.184259579","-73.13295055","05. mayo","A PIE","A PIE","01. Norte","206","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","LA CONCORDIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","19","domingo","20","SOLTERO","2010-09-19T00:00:00.000","MASCULINO","7.148103743","-73.12638987","09. septiembre","A PIE","A PIE","06. La Concordia","207","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","LA CONCORDIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","16","martes","26","SOLTERO","2010-11-16T00:00:00.000","MASCULINO","7.148103743","-73.12638987","11. noviembre","A PIE","A PIE","06. La Concordia","208","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","LA CONCORDIA","Lesiones fatales","HOMICIDIO","06. Persona Mayor","ARTÍCULO 103. HOMICIDIO","18","lunes","66","SOLTERO","2011-07-18T00:00:00.000","MASCULINO","7.148103743","-73.12638987","07. julio","A PIE","A PIE","06. La Concordia","209","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","LA CONCORDIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","1","domingo","26","SOLTERO","2012-04-01T00:00:00.000","MASCULINO","7.116246501","-73.128156","04. abril","A PIE","A PIE","06. La Concordia","210","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","LA CONCORDIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","19","domingo","20","UNION LIBRE","2014-01-19T00:00:00.000","MASCULINO","7.113432036","-73.11939294","01. enero","A PIE","A PIE","06. La Concordia","211","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","LA CONCORDIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","23","jueves","26","SOLTERO","2014-10-23T00:00:00.000","FEMENINO","7.109808217","-73.11786881","10. octubre","A PIE","A PIE","06. La Concordia","212","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","LA CONCORDIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","1","miércoles","23","SOLTERO","2016-06-01T00:00:00.000","MASCULINO","7.110273574","-73.11697532","06. junio","A PIE","A PIE","06. La Concordia","213","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","LA CONCORDIA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","31","sábado","31","SOLTERO","2016-12-31T00:00:00.000","MASCULINO","7.11358457","-73.12188912","12. diciembre","A PIE","A PIE","06. La Concordia","214","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","LA CONCORDIA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","27","sábado","29","SOLTERO","2018-01-27T00:00:00.000","MASCULINO","7.11112971","-73.12033536","01. enero","A PIE","A PIE","06. La Concordia","215","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","LA FERIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","3","jueves","20","SOLTERO","2013-01-03T00:00:00.000","MASCULINO","7.121843121","-73.139995","01. enero","A PIE","A PIE","04. Occidental","216","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","LA GLORIA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","26","domingo","29","SOLTERO","2014-01-26T00:00:00.000","MASCULINO","7.129768425","-73.13481565","01. enero","A PIE","A PIE","03. San Francisco","217","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","LA GLORIA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","23","lunes","29","SOLTERO","2015-11-23T00:00:00.000","MASCULINO","7.129931599","-73.13632477","11. noviembre","A PIE","A PIE","03. San Francisco","218","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","LA INDEPENDENCIA","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","24","miércoles","16","SOLTERO","2010-02-24T00:00:00.000","MASCULINO","7.154812438","-73.131358","02. febrero","A PIE","A PIE","03. San Francisco","219","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","LA INDEPENDENCIA","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","6","martes","16","SOLTERO","2010-04-06T00:00:00.000","MASCULINO","7.154812438","-73.131358","04. abril","A PIE","A PIE","03. San Francisco","220","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","LA INDEPENDENCIA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","26","lunes","39","UNION LIBRE","2015-10-26T00:00:00.000","MASCULINO","7.141537055","-73.12778381","10. octubre","A PIE","A PIE","03. San Francisco","221","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","LA INDEPENDENCIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","17","viernes","24","SOLTERO","2017-02-17T00:00:00.000","MASCULINO","7.145474309","-73.1278168","02. febrero","A PIE","A PIE","03. San Francisco","222","URBANA"
"2017","ARMA BLANCA / CORTOPUNZANTE","LA INDEPENDENCIA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","22","miércoles","21","SOLTERO","2017-02-22T00:00:00.000","MASCULINO","7.142807601","-73.12454987","02. febrero","A PIE","A PIE","03. San Francisco","223","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","LA JOYA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","11","viernes","19","SOLTERO","2010-06-11T00:00:00.000","MASCULINO","7.120645358","-73.12605","06. junio","A PIE","A PIE","05. García Rovira","224","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","LA JOYA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","3","domingo","19","UNION LIBRE","2012-06-03T00:00:00.000","MASCULINO","7.112317731","-73.136948","06. junio","A PIE","A PIE","05. García Rovira","225","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","LA JOYA","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","8","domingo","16","SOLTERO","2012-07-08T00:00:00.000","MASCULINO","7.112317731","-73.136948","07. julio","A PIE","A PIE","05. García Rovira","226","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","LA JOYA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","7","domingo","23","SOLTERO","2014-12-07T00:00:00.000","MASCULINO","7.112040861","-73.13653698","12. diciembre","A PIE","A PIE","05. García Rovira","227","URBANA"
"2015","ARMA BLANCA / CORTOPUNZANTE","LA JOYA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","10","miércoles","34","CASADO","2015-06-10T00:00:00.000","MASCULINO","7.115618","-73.13460579","06. junio","A PIE","A PIE","05. García Rovira","228","URBANA"
"2017","CONTUNDENTES","CENTRO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","1","sábado","25","SOLTERO","2017-07-01T00:00:00.000","FEMENINO","7.119486845","-73.1240987","07. julio","A PIE","A PIE","15. Centro","828","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","LA JOYA","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","27","lunes","19","SOLTERO","2016-06-27T00:00:00.000","MASCULINO","7.109938215","-73.14346481","06. junio","A PIE","A PIE","05. García Rovira","229","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","LA JUVENTUD","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","13","jueves","45","UNION LIBRE","2010-05-13T00:00:00.000","MASCULINO","7.170557382","-73.135108","05. mayo","A PIE","A PIE","02. Nor Oriental","230","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","LA JUVENTUD","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","15","martes","26","SOLTERO","2011-11-15T00:00:00.000","MASCULINO","7.170557382","-73.135108","11. noviembre","A PIE","A PIE","02. Nor Oriental","231","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","LA JUVENTUD","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","12","jueves","15","SOLTERO","2012-01-12T00:00:00.000","MASCULINO","7.144371","-73.128085","01. enero","A PIE","A PIE","02. Nor Oriental","232","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","LA JUVENTUD","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","4","jueves","32","UNION LIBRE","2013-07-04T00:00:00.000","MASCULINO","7.144371","-73.128085","07. julio","A PIE","A PIE","02. Nor Oriental","233","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","LA SALLE","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","10","domingo","29","SOLTERO","2010-10-10T00:00:00.000","MASCULINO","7.107462935","-73.11296573","10. octubre","A PIE","A PIE","06. La Concordia","234","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","LA UNIVERSIDAD","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","26","domingo","17","SOLTERO","2013-05-26T00:00:00.000","MASCULINO","7.138509941","-73.121658","05. mayo","A PIE","A PIE","03. San Francisco","235","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","LA UNIVERSIDAD","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","1","lunes","22","SOLTERO","2016-02-01T00:00:00.000","MASCULINO","7.134693212","-73.12029508","02. febrero","A PIE","A PIE","03. San Francisco","236","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","LA UNIVERSIDAD","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","15","viernes","51","SOLTERO","2016-04-15T00:00:00.000","MASCULINO","7.134722217","-73.12032808","04. abril","A PIE","A PIE","03. San Francisco","237","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","LA VICTORIA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","21","martes","33","SOLTERO","2010-12-21T00:00:00.000","MASCULINO","7.180977899","-73.14341726","12. diciembre","A PIE","A PIE","06. La Concordia","238","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","la victoria","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","28","miércoles","52","UNION LIBRE","2012-11-28T00:00:00.000","MASCULINO","7.100572239","-73.117362","11. noviembre","A PIE","A PIE","06. La Concordia","239","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","LIMONCITO","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","10","jueves","40","UNION LIBRE","2011-02-10T00:00:00.000","MASCULINO","7.178878699","-73.13273061","02. febrero","A PIE","A PIE","14. Morrorico","240","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","LIMONCITO","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","10","jueves","45","UNION LIBRE","2011-02-10T00:00:00.000","MASCULINO","7.178878699","-73.13273061","02. febrero","A PIE","A PIE","14. Morrorico","241","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","LOS CANELOS","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","25","domingo","26","SOLTERO","2018-03-25T00:00:00.000","MASCULINO","7.099272642","-73.12243573","03. marzo","A PIE","A PIE","08. Sur Occidente","242","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","MARIA PAZ","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","25","domingo","24","UNION LIBRE","2010-07-25T00:00:00.000","MASCULINO","7.154832987","-73.136127","07. julio","A PIE","A PIE","01. Norte","243","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","MARIA PAZ","Lesiones fatales","HOMICIDIO","02. Infancia","ARTÍCULO 103. HOMICIDIO","23","sábado","7","SOLTERO","2013-03-23T00:00:00.000","MASCULINO","7.14813733","-73.135057","03. marzo","A PIE","A PIE","01. Norte","244","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","MERCEDES","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","5","miércoles","40","SOLTERO","2013-06-05T00:00:00.000","MASCULINO","7.100572239","-73.117362","06. junio","A PIE","A PIE","12. Cabecera del Llano","245","URBANA"
"2013","ARMA BLANCA / CORTOPUNZANTE","MINUTO DE DIOS","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","29","martes","23","UNION LIBRE","2013-10-29T00:00:00.000","MASCULINO","7.14813733","-73.135057","10. octubre","A PIE","A PIE","01. Norte","246","URBANA"
